Data Approvazione,Ente,Titolo dell'iniziativa,Descrizione dell'iniziativa,"Destinatari, fruitori dell'iniziativa",Tempistiche dell'iniziativa,Metriche di valutazione dell'impatto,Eventuali partner coinvolti nell'iniziativa,L_Tipologia_Scala,L_Destinatari,L_Proponenti,L_Tipologia_Attivita_1,L_Tipologia_Attivita_2,L_Tipologia_Attivita_3,L_Tipologia_Attivita_4,L_Tipologia_Attivita_5,L_Tipologia_Attivita_6,URL
2020-04-15 09:04:30,Comune di Narni,DigiPASS Narni," Il DigiPASS di Narni è un luogo attrezzato per l’accesso assistito a risorse e tecnologie digitali allo scopo di accrescere le competenze informatiche di cittadini, enti e imprese. Ha una sede centrale nel Comune di Narni aperta 40 h/settimana e 11 nodi collocati nella Zona Sociale n.11 di cui il Comune è capofila (Alviano, Amelia, Attigliano, Avigliano Umbro, Calvi dell’Umbria, Giove, Guardea, Lugnano in Teverina, Montecastrilli, Otricoli, Penna in Teverina) aperti 2 h/settimana (vedi https://digipass.regione.umbria.it/narni/ per orari e recapiti). Tutte le sedi erogano il servizio di Open Desk grazie a un facilitatore in grado di guidare l’utenza in tutte quelle operazioni a carattere digitale sempre più indispensabili (informatica di base, navigazione internet, uso dei social media, SPID, CUP on line per prenotazione visite ed esami, fascicolo sanitario elettronico, Pago PA, ecc). La mission del DigiPASS viene attuata anche ospitando iniziative formative sul mondo del digitale.",Cittadini e residenti nei Comuni della Zona Sociale n.11 della Regione Umbria,L'iniziativa è in corso e ha pianificazione di attività triennale 2019-2020-2021,Numero di cittadini coinvolti nelle iniziative promosse dal DigiPASS,"12 comuni della Zona Sociale n.11 dell'Umbria: Narni (capofila), Alviano, Amelia, Attigliano, Avgliano Umbro, Calvi dell'Umbria, Giove, Guardea, Lugnano in Teverina, Montecastrilli, Otricoli, Penna in Teverina",Locale,Cittadini,Pubblica Amministrazione,facilitazione digitale,formazione informale,,,,,https://www.comune.narni.tr.it/
2020-04-15 09:14:30,WikiPoesia,Workshop di WikiPoesia,"I Workshop di WikiPoesia sono degli incontri formativi gratuiti organizzati dal Consiglio Direttivo di WikiPoesia composto da Volontari (non retribuiti e senza alcun rimborso spese). Si svolgono in biblioteche, scuole, oratori e spazi simili e vengono indirizzati ad un pubblico generico di appassionati di poesia, ma non necessariamente. E’ richiesto l’utilizzo di un computer portatile e della connessione Internet, strumenti e rete generalmente offerti dalla struttura ospitante. I Workshop durano 90 minuti e prevedono per i partecipanti l’acquisizione di abilità relative alla modifica di una pagina WIKI, all’inserimento di contenuti e di fonti, alla formattazione del testo. Il numero di partecipanti massimo previsto è 15 persone, assistite da almeno 3 volontari oltre al relatore. Al termine del workshop viene rilasciato un attestato di partecipazione e vengono concesse le credenziali di accesso al wiki no profit www.wikipoesia.it

",Cittadini interessati alla cultura partecipativa che vogliono sperimentare contesti comunicativi e di socialità digitale.,2020-2021,"* numero partecipanti
* numero utenti che inseriscono contenuti enciclopedici su WikiPoesia","Già aderenti: Comuni di Dervio, Dorio, Colico (provincia di Lecco)",Regionale,Cittadini,Associazioni società civile,formazione informale,piattaforma per partecipazione,,,,,https://www.wikipoesia.it
2020-04-20 09:14:30,onData,Da cittadino ad attivista digitale,"Le attività di “Da cittadino ad attivista digitale” saranno svolte sul web in diretta streaming.
I video verranno altresì archiviati in una playlist del canale YouTube dell’associazione ed a ognuno verrà associata una ricca descrizione e  eventuali link a materiali informativi di approfondimento.
La cadenza sarà mensile, con l’obiettivo di chiudere le attività previste entro la fine del 2020.
Verrà realizzato mini sito web dedicato all'iniziativa, associato a un dominio di terzo livello dell’associazione (repubblicadigitale.ondata.it) sia a supporto della fase di lancio dell’iniziativa, che per pubblicare gli avvisi dei nuovi appuntamenti, da rilanciare poi nei vari social network.
Sia durante lo streaming che nel sito web verrà evidenziata la possibilità di chiedere eventuali approfondimenti. Lo spazio per farlo sarà il repository GitHub di progetto, strumento essenziale e molto efficace per un attivista digitale del 2020.     
Tutti i materiali raccolti verranno rilasciati licenza aperta “Attribuzione 4.0 Internazionale (CC BY 4.0)”.","* Cittadini con competenze informatiche di base ed accesso ad internet interessati ad acquisire competenze abilitanti per il monitoraggio civico attraverso gli strumenti digitali disponibili attraverso Internet. 
* Associazioni di cittadini ed organizzazioni che hanno necessità di sviluppare competenze digitali più avanzate per rendere più efficaci le proprie iniziative.","Nel corso del 2020 saranno realizzati quattro eventi: tre webinar e tre, AMA (ask me anything) .","* Numero di accessi alla piattaforma utilizzata per i webinar 
* richieste effettuate durante gli AMA (Ask Me Everything)
* interazioni con i repository GitHub di onData che ospitano il materiale di supporto per esercitarsi e le guide. ",,Nazionale,Cittadini,Associazioni società civile,formazione specialistica ICT tecnologie emergenti,piattaforme e-learning,,,,,http://ondata.it
2020-04-20 10:14:30,Elis,Smart Working cafe,"ll ricorso allo smart working è un fenomeno in costante crescita e che adesso, anche per effetto dei provvedimenti adottati per far fronte al Coronavirus, si sta affermando ancora più velocemente e in modo capillare anche in contesti in cui è attualmente poco utilizzato. Servono però azioni di lungo periodo per proseguire sulla strada del cambiamento che stiamo intraprendendo.
Per favorire il dialogo su queste tematiche ELIS organizza dei webinar gratuiti “Smart Working Cafe” che hanno l’obiettivo di offrire suggerimenti e consigli concreti a tutti gli smart worker sia in termini di gestione della propria giornata lavorativa, sia in termini di salute e sicurezza. Negli “Smart Working Cafe” si affronterà un tema specifico con degli ospiti aziendali che offriranno la loro testimonianza.
I webinar gratuiti si svolgono 2 volte a settimana generalmente la mattina dalle 9.00 alle 10.00.
",Referenti aziendali e smart worker,Le attività sono state avviate a marzo 2020 e sono attualmente in corso,numero di utenti connessi al webinar,,Locale,Settore Privato,Associazioni società civile,piattaforme e-learning,Privati - competenze per il lavoro,Privati - eleadership,,,,http://www.elis.org/
2020-04-21 10:14:30,Comune di Palermo,Cassetta degli attrezzi digitali per il Lavoro Agile,"La Cassetta degli attrezzi digitali per il Lavoro Agile è un portale web che supporta il personale, di ogni ruolo (assessori, dirigenti, consiglieri, dipendenti), ad adottare gli strumenti digitali necessari a consentire di lavorare da remoto. In un momento in cui oltre 3500 persone dell’Amministrazione si ritrovano in “distanziamento sociale” è fondamentale fornire un supporto formativo e tutoriale che consenta di operare nella maniera più agevole per consentire ad un grande comune italiano di continuare ad essere produttivo. Con questo obiettivo è stato costruito uno spazio web che raccoglie tutorial sull’uso degli strumenti digitali per le video riunioni, per la gestione e condivisione documentale (Google Drive, Calendar, Meet, Moduli), per la gestione di deliberazioni, determinazionazioni, ordinanze, per la firma digitale, per comunicare rapidamente (Google Group) Circolari, comunicazioni utili, la sicurezza informatica e le norme nazionali di recente approvazione sul Lavoro Agile","Dipendenti, dirigenti, assessori, consiglieri comunali",Il portale è stato realizzato nel marzo 2020.  Si stima un periodo di 3 mesi affinché tutto il personale si adegui alla modalità Lavoro Agile utilizzando esclusivamente strumenti digitali. ,"*numero personale coinvolto
*numero personale che lavora in modalità Lavoro Agile
*numero e tipo di strumenti digitali utilizzati dal personale in modalità Lavoro Agile",Società comunale in house per i servizi informatici Sispi SpA,Locale,Settore Pubblico,Pubblica Amministrazione,piattaforme e-learning,PA - competenze per il lavoro,PA - eleadership,,,,https://www.comune.palermo.it
2020-04-27 10:14:30,Università di Urbino,Umano Digitale,"Umano Digitale è un corso universitario online aperto e gratuito, erogato in modalità MOOC, utilizzabile sia come corso di formazione accreditato che come corso a libera fruizione per arricchimento personale. 
L'aggettivo 'digitale' compare nelle agende strategiche di tutti i paesi del mondo, ma indica anche il divario tra chi padroneggia le nuove tecnologie e chi non riesce a tenere il passo con uno sviluppo tecnologico che avanza a ritmi senza precedenti. 
Questo corso riparte dalla definizione di 'digitale' per contribuire a raggiungere un obiettivo molto ambizioso: che nessuno si senta escluso da una rivoluzione che ha radici talmente profonde nella storia dell’umanità da poterne rintracciare le origini nella preistoria.
Digitale è infatti un aggettivo riferito alla rappresentazione dell'informazione che gli esseri umani hanno adottato grazie alle proprie capacità di astrazione e di rappresentazione simbolica.","Il MOOC può essere seguito liberamente da chiunque voglia approfondire il significato del termine 'digitale'.
E' particolarmente indicato come corso di formazione accreditato per insegnanti delle scuole di ogni ordine e grado e può essere utilizzato anche come attività extra-curricolare nelle scuole secondarie di secondo grado.",Il corso è già disponibile e fruibile on demand. L'Università di Urbino si impegna a mantenerlo attivo e fruibile liberamente per almeno altri due anni accademici,"* Numero di iscritti al corso
* Numero di iscritti che completano il corso
* Numero di insegnanti iscritti al corso
* Numero di insegnanti che completano il corso",RAI Cultura,Nazionale,Cittadini,Pubblica Amministrazione,piattaforme e-learning,PA - competenze per il lavoro,,,,,https://www.uniurb.it
2020-04-27 11:44:30,ALI-Legautonomie,Premio Rete dei Comuni BES-Agende locali 2030," I comuni che aderiscono al progetto si fregiano di un brand (logo) esclusivo perché accettano di farsi misurare alla fine di ogni anno secondo il set d’indicatori di benessere e sostenibilità proposto e, entro l’anno sperimentale 2020, predispongono e approvano con deliberazione della Giunta un’«Agenda urbana locale 2030». Sulla piattaforma digitale che si crea i si condividono i progetti che sono finalizzati a migliorare gli indicatori e ogni azione significativa utile ad accelerare l’innovazione dal basso.  L’associazione fornisce un supporto, diffondendo informazioni, progetti compiuti e buone pratiche, proponendo, in collaborazione con l’ASviS, formazione per gli amministratori e gli operatori degli enti e offrendo servizi. I primi risultati del Progetto verranno presentati nel Festival delle Città (Roma 29 settembre-2 ottobre). ALI predispone un riconoscimento annuale a comuni/progetti particolarmente significativi per il perseguimento degli obiettivi di sostenibilità.","I comuni, le unioni di comuni, le città metropolitane, le province",Avvio sperimentale per i comuni-test previsto nel primo semestre 2020. I tempi dipenderanno dai tempi dell'emergenza-coronavirus,* Numero di comuni coinvolti,"ASviS (per la selezione degli indicatori, per le iniziative di formazione e per altre azioni  necessarie all'avvio e all'implementazione del progetto ""Rete dei Comuni BES-Agende locali 2030"", secondo il Protocollo d'intesa sottoscritto)",Nazionale,Settore Pubblico,Pubblica Amministrazione,PA - eleadership,PA - competenze per il lavoro,,,,,https://aliautonomie.it
2020-04-27 12:24:30,Prometeo-Lab,Museo Virtuale (MUVi),"Il progetto si propone di coniugare i diversi ambiti tecnologici per la valorizzazione dei beni artistico-archeologici attraverso il progetto Museo Virtuale (MUVi). Il progetto mira alla valorizzazione del patrimonio storico archeologico e monumentale presente all'interno della quinta municipalità di Roma attraverso un nuovo approccio più moderno e completo con il quale il partecipante non sarà solo mero fruitore del bene ma parte attiva nell'analisi e nella ricostruzione virtuale dello stesso. Il progetto vede come risultato la valorizzazione del patrimonio attraverso la creazione di un museo virtuale online, open-source fruibile a tutti con la tecnologia VR. Nella progettualità si andranno a creare materiali video (animazioni tridimensionali del bene scansionato) asset VR, e studi approfonditi e documentati. Le attività aperte al territorio e specialmente agli studenti degli istituti superiori presenti con sede nella V Municipalità e dei territori limitrofi, intendono offrire le basi teorico-pratiche del rilievo attraverso la tecnica fotogrammetrica e aerofotogrammetrica e della creazione di ambienti virtuali con il software Unreal Engine per la visualizzazione VR dei beni scansionati.

Le attività laboratoriali verranno attuate all'interno dei laboratori di Prometeo-lab, e presso il campo volo di Italdron Academy Lazio.

I percorsi formativi sono organizzati in modo da risultare adatti anche per ragazzi di origine straniera, DSA o BES e alunni con disabilità","Studenti, esperti del settore, cittadini come fruitori finali dei prodotti del progetto. ",Il progetto della durata complessiva di 156 ore suddiviso in 3 moduli sarà attuato da Giugno 2020 e ultimato entro il 19-12-2021.,"* numero studenti partecipanti
* numero esperti coinvolti
* numero fruitori dei prodotti del progetto su web","Municipio V di Roma
Liceo F.D'Assisi Roma
Associazione culturale SpinOff
Italdron Academy s.r.l.
Nuovo Cinema Aquila
",Locale,Cittadini,Associazioni società civile,formazione formale,,,,,,https://www.prometeo-lab.com/
2020-05-04 12:24:30,Assosinderesi,Facciamo cultura etica in digitale,"Assosinderesi promuove cultura etica unendo le Arti ed i Mestieri. Comunicare e far conoscere la propria attività di business o artistica attraverso il web e le competenze digitali non è più una scelta, soprattutto in questo periodo di COVID-19. Le microimprese, gli artigiani e gli artisti sono stati fra i più colpiti nelle loro attività e devono rendere proprie e funzionali le competenze digitali.  Servono quindi azioni immediate e di lungo periodo per sostenere questo processo di cambiamento. Per fornire un supporto concreto Assosinderesi dal mese di Aprile ha iniziato ad organizzare dei webinar gratuiti che hanno l’obiettivo di offrire suggerimenti e consigli concreti. La cultura è il comun denominatore che porta alla conoscenza, e al poter fare delle scelte professionali etiche e di successo, ecco perché la cultura diventa digitale. I Webinbar si tengono sempre il primo martedì ed il terzo venerdì di ogni mese dalle 17,30 alle 18,30 Ogni webinar avrà un tema formativo specifico. Ci saranno ospiti e professionisti selezionati in ambito artistico e di business per affrontare i temi digitali che servono allo sviluppo personale e professionale di successo.","•	Cittadini con accesso ad internet interessati ad acquisire competenze abilitanti per lo sviluppo professionale, aziendale  ed artistico attraverso gli strumenti digitali e l’uso del web.
•	Associazioni di cittadini ed organizzazioni che hanno necessità di sviluppare competenze digitali più avanzate per rendere più efficaci le proprie iniziative.
",Pianificazione triennale con avvio delle attività già da fine maggio 2020.,"•	Numero di partecipanti alle iniziative formative e informative;
•	Valutazione risultati ottenuti attraverso i feed-back dei partecipanti
",,Nazionale,Cittadini,Associazioni società civile,piattaforme e-learning,,,,,,https://www.donatellarampado.com 
2020-04-30 12:24:30,Assinter,Assinter Academy,"Nata per rilanciare e ampliare le competenze del Management pubblico per la gestione dell’innovazione ICT della PA, oggi ha obiettivi ancora più sfidanti. L’emergenza CoVid-19 infatti ha reso evidente che l’innovazione digitale è imprescindibile per lo sviluppo del Paese, non solo per affrontare le emergenze ma anche per la ripresa economica e la coesione sociale. Academy, con la collaborazione scientifica di Università italiane e il confronto precompetitivo di grandi aziende ICT di mercato, nel quadro degli obiettivi dell’Agenda Digitale, indaga come l’innovazione tecnologica ed organizzativa, pur in un quadro di razionalizzazione della spesa pubblica, favoriscano la qualità di servizi a cittadini e imprese. Si basa sulla convinzione che formazione delle persone e cultura digitale sono una leva strategica per l’innovazione. I percorsi dell’edizione 2020, ciascuno con un focus sull’attuale situazione emergenziale e impatto della stessa sull’Agenda Digitale, saranno: Governance dell’innovazione e Agenda Digitale;  eHealth;  Smart & Data Living. 
","Dipendenti delle società ICT in house (Manager, figure tecnico-operative considerate alti potenziali all’interno delle in-house ICT,...), Dipendenti PA (Amministrazioni territoriali, Enti Centrali,…), target selezionato di grandi società IT in ottica di confronto culturale e precompetitivo con l’obiettivo di collaborare e lavorare insieme per la sfida comune dell’innovazione del Paese.  ",L’iniziativa sarà avviata a giugno 2020 e le attività formative verranno svolte entro dicembre 2020,"* numero di partecipanti all’iniziativa 
* gradimento da rilevazione customer service 
* svolgimento di tutte le iniziative in programma, 
* incremento degli interlocutori pubblici e privati coinvolti nel confronto",L'iniziativa è in collaborazione scientifica con diverse università italiane e con il supporto di grandi aziende IT,Nazionale,Settore Pubblico,Pubblica Amministrazione,PA - competenze per il lavoro,PA - eleadership,formazione specialistica ICT tecnologie classiche,formazione specialistica ICT tecnologie emergenti,,,https://www.assinteritalia.it/it/15446/Introduzione-all-Academy
2020-05-04 14:24:30,Alteredu,Polo Formativo DemOpen,"DemOpen è una social platform open source che permette agli utenti di:
-usufruire di contenuti digitali gratuiti
-creare e costruire in pochi minuti un brand per le loro communities e creare canali proprietari, per trasformare la community e i contenuti media anche in un loro futuro business, grazie a iscrizioni e advertising.
 Con una piattaforma all-in-one, Demopen aiuta gli utenti (fotografi, podcasters, videomakers e altri creatori di contenuti) 
a costruire, gestire i propri contenuti attraverso un approccio guidato ed user-centric.
 DemOpen Data Initiatives: nato come strumento per la trasparenza nelle PA e cresciuto come catalogo open data, permette a tutti gli utenti e sviluppatori di utilizzare e strutturare open data
Formazione per le competenze digitali e diffusione della cultura digitale: in questa crisi è emersa ancora di più l'utilità e il valore dei dati aperti. Crescendo come progetto data-driven saranno implementati tools, framework e templates utili ad utenti e sviluppatori  che rendono semplice e gratuita la condivisione dei dati. 
Infine, grazie al binomio Alteredu/DemOpen, proporremo corsi di formazione gratuiti online sulle nuove tecnologie all’interno dell'app e del polo formativo di Alteredu, principalmente su AI e Big Data.","Cittadini, giovani, studenti, disoccupati, Pubbliche Amministrazioni, Scuole, Imprese, Associazioni",Il progetto partirà dalla seconda metà del 2020,"* numero degli utenti aderenti alla Piattaforma
* numero partecipanti ai corsi","Comuni:
●  Vazzano (VV), Terranova da Sibari (CS) Platania(CZ) San Pietro a Maida (CZ), San Mango
d’Aquino (CZ) e Cori (LT);

Aziende e associazioni :
● UNPLI (unione nazionale pro loco italiane), 
● ANCI (associazione nazionale comuni italiani),
● PA SOCIAL (gruppo social della Pubblica Amministrazione)
● CONOE (consorzio nazionale oli esausti).",Nazionale,Cittadini,Settore privato,formazione specialistica ICT tecnologie emergenti,piattaforme e-learning,,,,,https://www.alteredu.it
2020-05-04 15:24:30,Eutopian,Restart,"Il progetto #Restart si compone di due iniziative interconnesse:
* una serie di webinar (https://eutopian.eu/it/restart/webinar) aperti a tutti, con cadenza almeno mensile (ad eccezione di agosto), sui temi fondativi dell’Associazione e coinvolgendo, nella misura più ampia possibile, esperti italiani e internazionali
* un “Decalogo” per la ripresa (https://eutopian.eu/it/restart/decalogo), inteso come documento collaborativo pubblicato sul portale web dell’Associazione almeno in italiano ed inglese e aperto a contributi di tutte le parti sociali; al termine di un periodo di consultazione, il Decalogo verrà consolidato e condiviso con stakeholder nazionali ed europei

Inoltre, anche ai fini di un coordinamento del progetto, Eutopian ha costituito un Gruppo di Lavoro su innovazione e politiche pubbliche, con particolare attenzione alle dimensioni della sostenibilità (sociale, economica, ambientale), dell’information security e dell’interoperabilità a livello interregionale e transfrontaliero.

Il Gruppo di Lavoro mira ad analizzare buone pratiche e proporre lo sviluppo di modelli utili da adottare o, ove individuati, suggerire miglioramenti da introdurre in modelli organizzativi, processi e piattaforme.

L’attività del Gruppo di Lavoro è da intendersi in sinergia con altri soggetti nazionali e comunitari impegnati nel medesimo ambito.","I destinatari dell’iniziativa sono cittadini ma anche PMI, comunità di ricerca, rappresentanti delle istituzioni presso cui far crescere la consapevolezza del ruolo dell’innovazione nelle politiche pubbliche. L’iniziativa aspira ad agire positivamente sulla rete di rapporti tra le parti sociali, nello spirito di un’azione pubblica autenticamente innovatrice.

In questo contesto, particolare attenzione verrà dedicata ad attività in grado di coinvolgere anche istituti universitari e di formazione, giovani ricercatori e talenti nell’ottica di fornire spazio alle nuove generazioni e incentivare iniziative di ricerca e sviluppo. Infatti, l’innovazione deve essere considerata non solo come veicolo di miglioramento, ma anche come strumento concreto di impiego di risorse umane e intellettuali in grado di fornire nuova linfa a sistemi troppo spesso obsoleti.","Per quanto riguarda i webinar, il progetto #Restart ne prevede almeno uno al mese a partire da maggio 2020, ma con possibilità di aumentare il numero qualora ci fosse adeguata disponibilità di relatori e di risorse.
Il Decalogo resterà invece in consultazione sul portale dell’Associazione per un periodo congruo a recepire commenti e nuove idee (almeno tre mesi).
Il Gruppo di Lavoro su innovazione e politiche pubbliche avrà invece durata indeterminata, fatta naturalmente salva la disponibilità di risorse.","* Numero di partecipanti agli eventi (webinar, seminari)
* Review da parte dei partecipanti
* Dimensioni (cardinalità) del network di soggetti pubblici e privati in riferimento ai quali il Gruppo di Lavoro svolge la sua azione
* Numero di interazioni (con eventuale relativa sentiment analysis) rispetto ai contenuti prodotti",,Nazionale,Settore Privato,Associazioni società civile,PA - eleadership,Privati - eleadership,piattaforme e-learning,,,,https://eutopian.eu
2020-05-07 15:24:30,HPE,Safe2Web,"Con l’obiettivo di incoraggiare i ragazzi ad utilizzare la rete avendo cura di sé stessi e degli altri, dal 2014 attraverso il suo programma “Safe2Web”, HPE offre un evento formativo a genitori, insegnanti e ragazzi per diffondere la cultura del rispetto e sensibilizzare all’uso responsabile delle nuove tecnologie, per costruire insieme una cultura della cittadinanza digitale.
L’iniziativa prevede l’organizzazione di incontri che utilizzano didattiche ludiche e coinvolgenti per approfondire le tematiche del cyberbullismo, del sexting e della data-privacy, sviluppando la consapevolezza delle opportunità, del divertimento, ma anche delle insidie celate nel mondo del web, affinché l’esperienza “digitale” possa essere vissuta al riparo dai pericoli ed all’insegna dell’intrattenimento e dell’arricchimento personale.
Safe2Web è il modo in cui le nostre persone contribuiscono allo sviluppo delle nuove generazioni attraverso l’uso consapevole delle tecnologie, un percorso di crescita alla base del progresso della vita umana in un mondo sostenibile. Sono 60 i volontari HPE che, dall'inizio del progetto, hanno incontrato oltre 8.000 ragazzi nelle scuole italiane, erogando 14.200 ore di formazione.","ragazzi, genitori e docenti delle scuole secondarie italiane",in corso per tutto il 2020,numero di partecipanti,,Nazionale,Cittadini,Settore privato,formazione formale,PA - competenze per il lavoro,formazione informale,,,,http://www.hpe.com
2020-05-07 17:24:30,HPE,CoderDojo @HPE,"L’iniziativa vuole avviare i ragazzi al mondo del coding, per portare l’esperienza nel maggior numero di scuole possibili e sollecitare i ragazzi ad essere “produttori digitali”. 
HPE aderisce a CoderDojo, un movimento globale non profit nato nel 2011 in Irlanda che ha come scopo la promozione del coding tra i ragazzi. Un CoderDojo è un club free e open dove i giovani dagli 8 ai 16 anni imparano, con il supporto di un gruppo di volontari, a programmare, usare le tecnologie digitali in modo consapevole, a presentare e condividere i propri lavori, a collaborare con gli altri. Lo strumento più usato è SCRATCH, una piattaforma sviluppata dal MIT, che consente ai ragazzi di programmare una presentazione multimediale o piccolo videogioco in poche ore. 
 I momenti formativi sono erogati da personale esperto HPE nell’ambito dei suoi programmi di volontariato d’azienda, attraverso metodiche divulgative consolidate dalla Fondazione CoderDojo internazionale che utilizzano attività didattiche ludiche e coinvolgenti per un approccio sereno e consapevole. ",giovani dagli 8 ai 16 anni,in corso per tutto il 2020,numero di partecipanti,,Nazionale,Cittadini,Settore privato,formazione formale,,,,,,http://www.hpe.com
2020-05-11 17:24:30,Comune di Marsciano,DigiPass Media Valle del Tevere,"Il DigiPass Media Valle del Tevere, inaugurato a luglio 2018, è un “modello a rete” diffuso sul territorio della Zona Sociale 4 della Regione Umbria. Le sedi sono ospitate in luoghi pubblici attrezzati, ad accesso libero, messi a disposizione dai Comuni aderenti: Marsciano (capofila), Deruta, Fratta Todina, Massa Martana, Monte Castello di Vibio, San Venanzo, Todi. Marsciano (Comune capofila), è sede centrale e punto di riferimento per gli altri spazi diffusi sul territorio, dove sono presenti vari nodi locali. In ogni DigiPass c’è un esperto (“facilitatore digitale”) in grado di assistere, accompagnare e supportare gli utenti nell’utilizzo di servizi digitali. Sono stati organizzati eventi formativi/informativi rivolti a cittadini, aziende, scuole, associazioni, professionisti, agenzie formative ed Enti pubblici finalizzati a promuovere e diffondere la conoscenza e l’utilizzo di strumenti e servizi digitali (CUP online, PagoPA, SPID, Fascicolo Sanitario Elettronico, Open Data,).","cittadini, imprese, associazioni, scuole, liberi professionisti, centri di ricerca",Maggio - Dicembre 2020,Numero di cittadini coinvolti nelle iniziative promosse dal DigiPASS,"Comune di Deruta, Comune di Fratta Todina, Comune di Massa Martana, Comune di Montecastello di Vibio, Comune di San Venanzo, Comune di Todi",Locale,Cittadini,Pubblica Amministrazione,facilitazione digitale,formazione informale,,,,,https://www.comune.marsciano.pg.it/
2020-05-11 15:24:30,Comune di Assisi,DigiPASS Assisi,"Il DigiPASS Assisi è un luogo attrezzato per l’accesso assistito a risorse e tecnologie digitali allo scopo di accrescere le competenze informatiche di cittadini, enti e imprese. Ha una sede principale presso il Palazzetto del Capitano del Perdono in piazza Garibaldi (aperta 40 ore a settimana) e una sede secondaria presso l'ex Icap in via Cristoforo Cecci 11 (aperta su richiesta) a Santa Maria degli Angeli di Assisi (è possibile consultare https://digipass.regione.umbria.it/assisi/ per orari e recapiti ed altre informazioni).
 Il DigiPASS Assisi eroga il servizio di Open Desk grazie a un Facilitatore in grado di guidare l’utenza in tutte quelle operazioni a carattere digitale sempre più indispensabili (informatica di base, navigazione internet, uso dei social media, SPID, CUP on line per prenotazione visite ed esami, fascicolo sanitario elettronico, Pago PA, ecc). La mission del DigiPASS Assisi viene attuata anche ospitando iniziative formative sul mondo del digitale.","Cittadini e residenti nei Comuni di Assisi, Bastia Umbra, Bettona, Cannara e Valfabbrica della Regione Umbria",L’iniziativa è in corso e ha pianificazione di attività triennale 2019-2020-2021,Numero di cittadini coinvolti nelle iniziative promosse dal DigiPASS,,Locale,Cittadini,Pubblica Amministrazione,facilitazione digitale,formazione informale,,,,,http://www.comune.assisi.pg.it
2020-05-11 13:24:30,MakeHub,MakeHub Accademy,"Le attività di formazione prevedono degli incontri di presenza nel rispetto delle direttive governative causa emergenza covid-19, in videoconferenza con lezioni, esercitazioni e produzione di materiale di supporto nonchè incontri di autoformazione e/o formazione/progettazione di attivtà laboratoriali innovative, svolte in team  da condividere anche in modalità web.
La durata dei vari moduli è di 6 mesi con diverse fasce orarie e giornaliere.
La sessione estiva è da Giugno a Luglio e la sessione invernale è da Settembre a Dicembre 2020.
Le attvità prevedono dei laboratori sia individuali che in team avvalendosi di software quali Blender 3d, photoshop,indesign,pacghetto office, stampanti 3d,sounddesign,marketing,cultura d'impresa, visual design, indesign. ",Tutti i giovani inclusi anche quelli non appartenenti ad alcune organizzazione ed i giovani con poche opportunità nonché imprese che vogliono innovarsi.,Già in corso,* numero di partecipanti,"Tree Srl, Google developer group gela, fondazione di comunità Agrigento e Trapani.",Locale,Cittadini,Settore privato,formazione specialistica ICT tecnologie classiche,Privati - competenze per il lavoro,Privati - eleadership,,,,http://www.makehub.it/
2020-05-19 13:24:30,FORMA.Azione,L’Alfabeto dei media e dell’informazione online,"Webinar, Dirette Facebook, brevi video di animazione su Youtube, Facebook, Siti web di riferimenti di FORMA.Azione (www.azione.com; www.in-eduproject.eu), incontri in Radio con lo scopo di avvicinare, in particolare genitori di studenti e studentesse delle scuole secondarie superiori alla Media e Information Literacy, come sapere e competenza chiave di cittadinanza digitale e di inclusione sociale e lavorativa. Tematiche: didattica innovativa online (nuove piattaforme di condivisione e costruzione di contenuti). Incontro/confronto sui risultati di un questionario online per genitori su come hanno vissuto la Didattica a Distanza e quali suggerimenti hanno. Identità digitale e reputazione online, diritti, privacy, tutele; discorsi di odio online, stereotipi e pregiudizi, contrastarli attraverso la contro-narrazione e la comunicazione alternativa; Le parole che ci escludono. Glossario della cultura digitale e dell’informazione online: troll, debunking, fake news, algoritmo, cookie, Intelligenza Artificiale, Meme, Impronta Digitale, Phishing, Nudge, ecc.","Genitori, insegnanti e studenti/esse di scuole secondarie di primo e secondo grado, ",Da maggio 2020 in poi,"* numero di visualizzazioni,
* numero partecipanti diretti agli webinar alle Dirette FB, alle Trasmissioni Radio, conteggiando maschi, femmine o non risposte su questo. 
* numero e tipologia di eventuali commenti, richieste di informazioni ulteriori, fornite anche attraverso brevi questionari di feedback al termine delle attività",ITET Aldo Capitini Perugia http://www.itetcapitini.edu.it/,Nazionale,Cittadini,Settore privato,formazione specialistica ICT tecnologie classiche,PA - competenze per il lavoro,formazione informale,,,,http://www.azione.com
